time,surface_downwelling_photosynthetic_photon_flux_in_air
2023-11-06 22:00:00+00:00,475.33
2023-11-06 22:15:00+00:00,230.64
2023-11-06 22:30:00+00:00,85.7
2023-11-06 22:45:00+00:00,73.76
2023-11-06 23:00:00+00:00,166.19
2023-11-06 23:15:00+00:00,82.52
2023-11-06 23:30:00+00:00,67.95
2023-11-06 23:45:00+00:00,107.63
2023-11-07 00:00:00+00:00,46.03
2023-11-07 00:15:00+00:00,37.3
2023-11-07 00:30:00+00:00,17.87
2023-11-07 00:45:00+00:00,5.29
2023-11-07 01:00:00+00:00,3.22
2023-11-07 01:15:00+00:00,2.93
2023-11-07 01:30:00+00:00,2.92
2023-11-07 01:45:00+00:00,2.93
2023-11-07 02:00:00+00:00,2.93
2023-11-07 02:15:00+00:00,2.93
2023-11-07 02:30:00+00:00,2.93
2023-11-07 02:45:00+00:00,2.93
2023-11-07 03:00:00+00:00,2.92
2023-11-07 03:15:00+00:00,2.93
2023-11-07 03:30:00+00:00,2.93
2023-11-07 03:45:00+00:00,2.93
2023-11-07 04:00:00+00:00,2.93
2023-11-07 04:15:00+00:00,2.93
2023-11-07 04:30:00+00:00,2.92
2023-11-07 04:45:00+00:00,2.92
2023-11-07 05:00:00+00:00,2.92
2023-11-07 05:15:00+00:00,2.92
2023-11-07 05:30:00+00:00,2.92
2023-11-07 05:45:00+00:00,2.92
2023-11-07 06:00:00+00:00,2.92
2023-11-07 06:15:00+00:00,2.92
2023-11-07 06:30:00+00:00,2.92
2023-11-07 06:45:00+00:00,2.92
2023-11-07 07:00:00+00:00,2.92
2023-11-07 07:15:00+00:00,2.92
2023-11-07 07:30:00+00:00,2.91
2023-11-07 07:45:00+00:00,2.91
2023-11-07 08:00:00+00:00,2.91
2023-11-07 08:15:00+00:00,2.91
2023-11-07 08:30:00+00:00,2.91
2023-11-07 08:45:00+00:00,2.91
2023-11-07 09:00:00+00:00,2.91
2023-11-07 09:15:00+00:00,2.9
2023-11-07 09:30:00+00:00,2.9
2023-11-07 09:45:00+00:00,2.9
2023-11-07 10:00:00+00:00,2.9
2023-11-07 10:15:00+00:00,2.91
2023-11-07 10:30:00+00:00,2.9
2023-11-07 10:45:00+00:00,2.9
2023-11-07 11:00:00+00:00,2.9
2023-11-07 11:15:00+00:00,2.89
2023-11-07 11:30:00+00:00,2.89
2023-11-07 11:45:00+00:00,2.89
2023-11-07 12:00:00+00:00,2.89
2023-11-07 12:15:00+00:00,2.89
2023-11-07 12:30:00+00:00,2.89
2023-11-07 12:45:00+00:00,2.89
2023-11-07 13:00:00+00:00,2.89
2023-11-07 13:15:00+00:00,2.89
2023-11-07 13:30:00+00:00,2.9
2023-11-07 13:45:00+00:00,2.9
2023-11-07 14:00:00+00:00,2.89
2023-11-07 14:15:00+00:00,2.89
2023-11-07 14:30:00+00:00,2.89
2023-11-07 14:45:00+00:00,3.48
2023-11-07 15:00:00+00:00,14.36
2023-11-07 15:15:00+00:00,27.47
2023-11-07 15:30:00+00:00,65.29
2023-11-07 15:45:00+00:00,56.55
2023-11-07 16:00:00+00:00,85.07
2023-11-07 16:15:00+00:00,209.87
2023-11-07 16:30:00+00:00,83.44
2023-11-07 16:45:00+00:00,302.47
2023-11-07 17:00:00+00:00,365.5
2023-11-07 17:15:00+00:00,418.26
2023-11-07 17:30:00+00:00,463.73
2023-11-07 17:45:00+00:00,517.16
2023-11-07 18:00:00+00:00,556.8
2023-11-07 18:15:00+00:00,592.02
2023-11-07 18:30:00+00:00,646.35
2023-11-07 18:45:00+00:00,639.03
2023-11-07 19:00:00+00:00,652.75
2023-11-07 19:15:00+00:00,662.44
2023-11-07 19:30:00+00:00,695.14
2023-11-07 19:45:00+00:00,716.35
2023-11-07 20:00:00+00:00,714.53
2023-11-07 20:15:00+00:00,712.06
2023-11-07 20:30:00+00:00,712.33
2023-11-07 20:45:00+00:00,699.65
2023-11-07 21:00:00+00:00,694.92
